CASE_NAME,INTEGRATION_D,INTEGRATION_R,INTEGRATION_G,JSC,JSC/INT_D,INT_R/INT_D,INT_D/INT_G,PASS TEST?
t1/20x20/test00600,2.88067109175e+27,3.2424659885199996e+26,6.3185505754e+27,5.50253,0.8860171871279999,0.112559396221,0.45590694532799997,y
t1/20x20/test00610,2.88067109175e+27,3.2424659885199996e+26,6.3185505754e+27,5.50253,0.8860171871279999,0.112559396221,0.45590694532799997,y
t1/20x20/test00620,2.88067109175e+27,3.2424659885199996e+26,6.3185505754e+27,5.50253,0.8860171871279999,0.112559396221,0.45590694532799997,y
t1/20x20/test00630,2.88067109175e+27,3.2424659885199996e+26,6.3185505754e+27,5.50253,0.8860171871279999,0.112559396221,0.45590694532799997,y
t1/20x20/test00640,2.88067109175e+27,3.2424659885199996e+26,6.3185505754e+27,5.50253,0.8860171871279999,0.112559396221,0.45590694532799997,y
t1/20x20/test00650,2.88067109175e+27,3.2424659885199996e+26,6.3185505754e+27,5.50253,0.8860171871279999,0.112559396221,0.45590694532799997,y
t1/20x20/test00660,2.88067109175e+27,3.2424659885199996e+26,6.3185505754e+27,5.50253,0.8860171871279999,0.112559396221,0.45590694532799997,y
t1/20x20/test00670,2.89645111764e+27,2.03209347416e+26,6.120905983140001e+27,5.82785,0.93328774589,0.0701580448383,0.473206274625,y
t1/20x20/test00680,2.78745204997e+27,1.8131119862300002e+26,6.03384217191e+27,5.7086500000000004,0.949947083098,0.0650454950769,0.461969665518,y
t1/20x20/test00690,3.12574853077e+27,3.65930543766e+26,6.257925960969999e+27,6.05669,0.8987827154069999,0.117069732293,0.499486339442,y
t1/20x20/test00700,3.12656953741e+27,3.17743020284e+26,6.178144525000001e+27,6.19253,0.918699391901,0.101626724253,0.506069342459,y
t1/20x20/test00710,3.12656953741e+27,3.17743020284e+26,6.178144525000001e+27,6.19253,0.918699391901,0.101626724253,0.506069342459,y
t1/20x20/test00720,3.12656953741e+27,3.17743020284e+26,6.178144525000001e+27,6.19253,0.918699391901,0.101626724253,0.506069342459,y
t1/20x20/test00730,3.12656953741e+27,3.17743020284e+26,6.178144525000001e+27,6.19253,0.918699391901,0.101626724253,0.506069342459,y
t1/20x20/test00740,3.12656953741e+27,3.17743020284e+26,6.178144525000001e+27,6.19253,0.918699391901,0.101626724253,0.506069342459,y
t1/20x20/test00750,3.12656953741e+27,3.17743020284e+26,6.178144525000001e+27,6.19253,0.918699391901,0.101626724253,0.506069342459,y
t1/20x20/test00760,3.12656953741e+27,3.17743020284e+26,6.178144525000001e+27,6.19253,0.918699391901,0.101626724253,0.506069342459,y
t1/20x20/test00770,3.13278042943e+27,4.9479797206700004e+26,5.673202250580001e+27,5.96992,0.883917955785,0.157942116641,0.552206724004,y
t1/20x20/test00780,3.46787637588e+27,4.3361071297700004e+26,5.96983148491e+27,6.77681,0.906431739388,0.125036381324,0.5809002121119999,y
t1/20x20/test00790,3.2738915250799997e+27,3.8863995843900004e+26,5.86848123049e+27,6.4637,0.9157782137079999,0.118708868454,0.557877140007,y
t1/20x20/test00800,3.4943341265100004e+27,4.2273910078899996e+26,5.97753132117e+27,6.8365100000000005,0.907493296399,0.12097844265299999,0.584578137484,y
t1/20x20/test00810,3.4943341265100004e+27,4.2273910078899996e+26,5.97753132117e+27,6.8365100000000005,0.907493296399,0.12097844265299999,0.584578137484,y
t1/20x20/test00820,3.4943341265100004e+27,4.2273910078899996e+26,5.97753132117e+27,6.8365100000000005,0.907493296399,0.12097844265299999,0.584578137484,y
t1/20x20/test00830,3.4943341265100004e+27,4.2273910078899996e+26,5.97753132117e+27,6.8365100000000005,0.907493296399,0.12097844265299999,0.584578137484,y
t1/20x20/test00840,3.4943341265100004e+27,4.2273910078899996e+26,5.97753132117e+27,6.8365100000000005,0.907493296399,0.12097844265299999,0.584578137484,y
t1/20x20/test00850,3.4943341265100004e+27,4.2273910078899996e+26,5.97753132117e+27,6.8365100000000005,0.907493296399,0.12097844265299999,0.584578137484,y
t1/20x20/test00860,3.4943341265100004e+27,4.2273910078899996e+26,5.97753132117e+27,6.8365100000000005,0.907493296399,0.12097844265299999,0.584578137484,y
t1/20x20/test00870,3.4222525268e+27,3.71117264796e+26,5.82692066849e+27,6.82224,0.9246733530869999,0.108442396299,0.5873175080749999,y
t1/20x20/test00880,3.4980031448700003e+27,2.93047882777e+26,5.87154261117e+27,7.0366,0.933073961827,0.08377576308580001,0.595755387722,y
t1/20x20/test00890,3.59660743359e+27,3.28078427007e+26,5.80869153807e+27,7.26887,0.937448171055,0.0912188591673,0.619176867973,y
t1/20x20/test00900,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00910,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00920,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00930,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00940,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00950,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00960,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00970,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00980,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00990,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/40x40/test,4.32647305753e+27,4.44187783236e+26,6.14762348728e+27,8.53153,0.914673971212,0.102667409985,0.703763505759,y
t1/40x40/test00010,4.53317655353e+27,8.074577088810001e+26,6.33580563016e+27,8.09767,0.828573124115,0.178121831185,0.7154854201849999,y
t1/40x40/test00020,4.56986673717e+27,1.15282319599e+27,6.23927936954e+27,7.41682,0.7528138584499999,0.252266261179,0.732435024379,y
t1/40x40/test00030,4.5284453288400003e+27,1.25706320823e+27,6.26826971692e+27,7.28559,0.746258000934,0.27759266521299997,0.72243945033,y
t1/40x40/test00040,4.39726980505e+27,7.07336645191e+26,6.32680702633e+27,8.07615,0.851911860949,0.160858140727,0.695021957634,y
t1/40x40/test00050,4.3582835858999997e+27,7.86032682558e+26,6.25723019264e+27,7.82134,0.832413436296,0.18035372572299999,0.696519618376,y
t1/40x40/test00060,4.5167100362300003e+27,1.34500832603e+27,6.17554698987e+27,7.15369,0.734651395094,0.297784961864,0.731386230823,y
t1/40x40/test00070,4.7101197185399995e+27,1.32347197677e+27,6.12160175148e+27,7.49698,0.73829139783,0.280984785043,0.769426027651,y
t1/40x40/test00080,4.65014448789e+27,1.31320243612e+27,6.1545347861e+27,7.49573,0.747688824089,0.282400351087,0.755563929602,y
t1/40x40/test00090,4.36089503639e+27,1.09653089907e+27,6.15063848341e+27,7.32263,0.7788697892399999,0.25144629480999997,0.709015014964,y
t1/40x40/test00100,4.22061886274e+27,7.81589042113e+26,6.20560418203e+27,7.70492,0.846769877226,0.185183516315,0.680130207939,y
t1/40x40/test00110,4.22061886274e+27,7.81589042113e+26,6.20560418203e+27,7.70492,0.846769877226,0.185183516315,0.680130207939,y
t1/40x40/test00120,4.22061886274e+27,7.81589042113e+26,6.20560418203e+27,7.70492,0.846769877226,0.185183516315,0.680130207939,y
t1/40x40/test00130,4.22061886274e+27,7.81589042113e+26,6.20560418203e+27,7.70492,0.846769877226,0.185183516315,0.680130207939,y
t1/40x40/test00140,4.22061886274e+27,7.81589042113e+26,6.20560418203e+27,7.70492,0.846769877226,0.185183516315,0.680130207939,y
t1/40x40/test00150,4.22061886274e+27,7.81589042113e+26,6.20560418203e+27,7.70492,0.846769877226,0.185183516315,0.680130207939,y
t1/40x40/test00160,4.3084201884100003e+27,1.06421014059e+27,6.24526297724e+27,7.3212,0.78820216001,0.24700704525999997,0.689870098999,y
t1/40x40/test00170,4.4934481814899997e+27,1.1994211207400001e+27,6.23190422517e+27,7.41396,0.765321480032,0.266926661258,0.721039351554,y
t1/40x40/test00180,4.37622513208e+27,1.01130391625e+27,6.20156872568e+27,7.56852,0.802203788923,0.231090468524,0.705664215883,y
t1/40x40/test00190,4.34953082022e+27,9.908483271410001e+26,6.12489505494e+27,7.50579,0.8004374481259999,0.227805795151,0.710139648299,y
t1/40x40/test00200,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00210,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00220,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00230,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00240,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00250,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00260,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00270,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00280,4.57780777312e+27,1.3306430291e+27,6.18867381917e+27,7.28566,0.738218202929,0.290672543477,0.739707392384,y
t1/40x40/test00290,4.3941620398100006e+27,8.72706863523e+26,6.21733947465e+27,7.88512,0.832349342751,0.198605981192,0.706759226787,y
t1/40x40/test00300,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00310,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00320,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00330,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00340,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00350,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00360,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00370,4.26061626521e+27,7.32421412966e+26,6.137743576900001e+27,7.811,0.850369389658,0.171905040796,0.694166547005,y
t1/40x40/test00380,4.82733349104e+27,1.6477510448100002e+27,6.07326904434e+27,7.18775,0.690651664166,0.341337727694,0.7948492740499999,y
t1/40x40/test00390,4.13808218416e+27,7.031620351690001e+26,6.13166720009e+27,7.60586,0.852555415345,0.169924618168,0.674870642696,y
t1/40x40/test00400,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00410,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00420,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00430,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00440,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00450,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00460,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00470,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00480,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
""
t1/40x40/test00490,4.71345940656e+27,1.4221875884199998e+27,6.17438737598e+27,7.3889700000000005,0.727139159715,0.301729041371,0.763389000317,y
t1/40x40/test00500,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00510,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
t1/40x40/test00520,4.25053226278e+27,6.460394547030001e+26,6.2009193419e+27,8.0151,0.874659525335,0.151990248443,0.685468077939,y
